Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18631345210,"May 24, 2026, 5:31:14 AM",Morning Run,Run,"",5520,16.32,169.0,155,false,,ASICS Superblast 2,activities/19738637611.fit.gz,,,5520.0,5455.0,16319.2,4.74,2.992,48.6,55.8,-3.0,9.2,42.1,-0.1,,,,,169.0,153.0,,241.0,1128.0,,,155.0,,,,,,,,,240.0,5520.0,,,0.0,,1.0,16450.3,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,2.956,108.7,,,,15122.0,0.0,,309.0,142.0,3.016,,,,,,,,,,,,media/1A26A05D-3645-48E1-9EAE-2CC1C82133A6.jpg|media/87C1C95B-90E7-4BB8-97E6-0059CD65654F.jpg
18615192488,"May 21, 2026, 7:02:22 AM",Morning Tennis,Workout,,3979,0,188.0,85,false,,,activities/19722133267.fit.gz,,,3979.0,3979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,188.0,146.0,,,715.0,,,85.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
18576644447,"May 19, 2026, 5:18:40 PM",Evening Ride,Ride,"",1739,5.98,149.0,5,false,,,activities/19682930578.fit.gz,,9.0,1739.0,554.0,5980.5,15.378,10.795,3.2,4.6,1.9,5.3,20.0,0.0,,,,,149.0,133.0,,232.0,158.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.439,172.5,,,,,0.0,,,,,,,,,,,,,,,,""
18576644428,"May 19, 2026, 4:02:23 PM",Evening Tennis,Workout,,4120,0,194.0,68,false,,,activities/19682930579.fit.gz,,,4120.0,4120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,194.0,136.0,,,627.0,,,68.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
18550287913,"May 17, 2026, 6:02:34 PM",Evening Tennis,Workout,,4188,0,181.0,77,false,,,activities/19656338821.fit.gz,,,4188.0,4188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,181.0,143.0,,,752.0,,,77.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
18540950973,"May 17, 2026, 8:02:49 AM",Morning Football (Soccer),Football (Soccer),,4444,0,196.0,183,false,,,activities/19646853639.fit.gz,,,4444.0,4444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,196.0,162.0,,,952.0,,,183.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
18498340631,"May 13, 2026, 4:39:45 AM",Morning Run,Run,,3458,11.02,177.0,133,false,,ASICS Superblast 2,activities/19603785175.fit.gz,,,3458.0,3408.0,11023.5,5.54,3.235,28.6,35.8,-4.0,8.2,32.5,-0.1,,,,,177.0,161.0,,261.0,762.0,,,133.0,,,,,,,,,259.0,3460.0,,,0.0,,1.0,11120.7,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,3.188,2148.6,,,,9662.0,0.0,,225.0,153.0,3.263,,,,,,,,,,,,""
18498340208,"May 12, 2026, 4:05:42 PM",Evening Tennis,Workout,,3504,0,193.0,90,false,,,activities/19603784779.fit.gz,,,3504.0,3504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,193.0,150.0,,,678.0,,,90.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
18472005090,"May 11, 2026, 4:50:18 AM",Morning Run,Run,,3735,11.25,168.0,104,false,,ASICS Superblast 2,activities/19577251303.fit.gz,,,3735.0,3694.0,11249.7,5.48,3.045,36.4,36.8,1.6,9.2,15.6,0.0,,,,,168.0,152.0,,246.0,777.0,,,104.0,,,,,,,,,244.0,3736.0,,,0.0,,1.0,11332.9,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,3.012,61.5,,,,10240.0,0.0,,215.0,144.0,3.068,,,,,,,,,,,,""
18393899016,"May 5, 2026, 3:51:40 PM",Afternoon Tennis,Workout,,4688,0,182.0,44,false,,,activities/19498360847.fit.gz,,,4688.0,4688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,182.0,122.0,,,587.0,,,44.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18393899038,"May 4, 2026, 5:14:54 AM",Morning Run,Run,,2577,7.50,160.0,54,false,,ASICS Superblast 2,activities/19498360851.fit.gz,,,2577.0,2560.0,7500.5,4.6,2.93,19.4,24.6,-4.6,6.4,49.3,-0.1,,,,,160.0,146.0,,241.0,520.0,,,54.0,,,,,,,,,238.0,2578.0,,,0.0,,1.0,7542.9,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,2.911,2326.9,,,,7000.0,0.0,,142.0,141.0,2.946,,,,,,,,,,,,""
18367498088,"May 2, 2026, 7:30:58 AM",Morning Run,Run,,268,0.71,162.0,7,false,,ASICS Superblast 2,activities/19471761008.fit.gz,,,268.0,265.0,715.7,3.4,2.701,5.4,6.0,-3.2,2.2,5.1,-0.2,,,,,162.0,152.0,,222.0,56.0,,,7.0,,,,,,,,,210.0,269.0,,,0.0,,1.0,725.5,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,2.67,0.0,,,,738.0,0.0,,11.0,124.0,2.738,,,,,,,,,,,,""
18367498096,"May 2, 2026, 7:03:37 AM",Morning Run,Run,,1364,4.96,205.0,94,false,,ASICS Superblast 2,activities/19471761004.fit.gz,,,1364.0,1364.0,4966.9,5.3,3.641,8.0,13.2,-6.6,-1.2,3.7,-0.1,,,,,205.0,185.0,,294.0,351.0,,,94.0,,,,,,,,,294.0,1365.0,,,0.0,,1.0,4978.8,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,3.641,3284.0,,,,3844.0,0.0,,114.0,174.0,3.65,,,,,,,,,,,,""
18367498098,"May 2, 2026, 6:23:02 AM",Morning Run,Run,,1740,4.13,159.0,34,false,,ASICS Superblast 2,activities/19471761039.fit.gz,,,1740.0,1463.0,4130.6,4.6,2.823,7.4,23.0,-10.2,6.2,10.0,-0.4,,,,,159.0,147.0,,231.0,278.0,,,34.0,,,,,,,,,230.0,1465.0,,,0.0,,1.0,4160.1,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,2.374,0.0,,,,3966.0,0.0,,75.0,136.0,2.844,,,,,,,,,,,,""
18367498259,"Apr 29, 2026, 4:22:31 AM",Morning Run,Run,,3205,9.68,167.0,98,false,,ASICS Superblast 2,activities/19471761084.fit.gz,,,3205.0,3184.0,9686.1,4.3,3.042,25.6,36.2,-6.0,5.0,20.9,-0.1,,,,,167.0,155.0,,244.0,669.0,,,98.0,,,,,,,,,243.0,3205.0,,,0.0,,1.0,9728.7,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,3.022,261.6,,,,8892.0,0.0,,184.0,144.0,3.055,,,,,,,,,,,,""
18280821644,"Apr 26, 2026, 12:05:13 PM",Afternoon Tennis,Workout,,5472,0,174.0,54,false,,,activities/19384216758.fit.gz,,,5472.0,5472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,174.0,133.0,,,862.0,,,54.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18234167997,"Apr 23, 2026, 4:59:46 AM",Morning Run,Run,,3222,10.40,190.0,132,false,,ASICS Superblast 2,activities/19337027171.fit.gz,,,3222.0,3202.0,10407.4,6.44,3.25,13.0,18.0,-3.4,4.0,7.4,0.0,,,,,190.0,163.0,,267.0,722.0,,,132.0,,,,,,,,,273.0,3221.0,,,0.0,,1.0,10437.1,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,3.23,278.2,,,,8652.0,0.0,,234.0,162.0,3.26,,,,,,,,,,,,""
18207496234,"Apr 21, 2026, 3:59:11 PM",Afternoon Tennis,Workout,,3861,0,195.0,97,false,,,activities/19310183476.fit.gz,,,3861.0,3861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,195.0,147.0,,,683.0,,,97.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18188567722,"Apr 20, 2026, 5:51:38 AM",Morning Run,Run,,3034,9.22,165.0,85,false,,ASICS Superblast 2,activities/19291153741.fit.gz,,,3034.0,3022.0,9222.5,5.58,3.052,18.8,25.4,0.0,7.4,11.0,0.0,,,,,165.0,153.0,,249.0,637.0,,,85.0,,,,,,,,,247.0,3034.0,,,0.0,,1.0,9261.2,,,,,,,,,,,,,,,,26259769.0,,,,,,,,,,,3.04,1385.6,,,,8220.0,0.0,,179.0,146.0,3.065,,,,,,,,,,,,""
